Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Category
Smartstaff,2020,Bangalore,recruitment,smartstaff (previously qikwork) is a full stack blue-collar workforce management platform.,"Arpit Dave, Viral Chhajer, Gnanesh Chilukuri, Aravind Reddy","Blume Ventures, Nexus Venture Partners",4300000.0,Unknown,2021,technology
D’Moksha Homes,2020,Mumbai,textiles,"artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.","Nimisha, Manav Dhanda","Apoorva Sharma, The Chennai Angels, Karthik Bhat",570000.0,Seed,2021,consumer goods
Ans Commerce,2017,Gurgaon,e-commerce,ans commerce is india’s #1 full-stack e-commerce enabler helping brands sell online.,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",2200000.0,Pre-Series A,2021,e-commerce
Mobileware Technologies,2008,Mumbai,information technology services,"a mobile applications development platform for technologies including symbian, blackberry, and early versions of ios and android.","Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,4700000.0,Unknown,2021,technology
Gramcover,2016,Noida,insurance,gramcover is a tech-enabled insurance marketplace for rural india.,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures",7000000.0,Series A,2021,financial services
Byju'S,2011,Bangalore,education,byju’s is india's largest ed-tech company and the creator of india’s most loved school learning app.,"Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, Xn Exponent, Edelweiss",300000000.0,Unknown,2021,education and training
Hyperface,2021,Bangalore,information technology services,empowering brands and fintechs to offer banking products contextually to their customers.,"Ramanathan Rv, Aishwarya Jaishankar","Kunal Shah, Better Capital",1300000.0,Unknown,2021,technology
Licious,2015,Bangalore,food beverages,"licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Vivek Gupta, Abhay",Undisclosed,52000000.0,Series G,2021,food and beverages
Chalo,2014,Mumbai,mobility,india’s #1 bus transport technology company.,"Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital",40000000.0,Series C,2021,technology
Kaar Technologies,2005,Chennai,information technology services,"kaar technologies is an sap global consultancy firm that designs, delivers and deploys cutting-edge sap solutions for businesses around the world.",Maran Nagarajan,Blacksoil,4000000.0,Unknown,2021,technology
Kissan Pro,2021,Jharkhand,farming,"full stack solution on agri advisory, input purchase and market linkage",Ravi Dasoundhi,Ekki,0.0,Unknown,2021,technology
